"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","115.03","114.99","117.86","109.43","2.07M","0.04%"
"Dec 25, 2021","114.99","114.88","116.90","112.39","1.88M","0.24%"
"Dec 24, 2021","114.71","121.36","124.53","113.29","2.34M","-5.48%"
"Dec 23, 2021","121.36","116.69","124.97","116.41","2.78M","4.10%"
"Dec 22, 2021","116.59","123.28","127.19","115.66","3.19M","-5.42%"
"Dec 21, 2021","123.27","113.32","123.88","110.77","4.03M","8.79%"
"Dec 20, 2021","113.30","107.62","116.09","101.03","4.88M","5.27%"
"Dec 19, 2021","107.63","115.84","116.59","106.89","2.33M","-7.09%"
"Dec 18, 2021","115.84","110.85","117.25","105.60","3.73M","4.45%"
"Dec 17, 2021","110.91","98.30","115.74","98.23","6.79M","12.82%"
"Dec 16, 2021","98.30","101.14","109.63","98.17","5.43M","-2.81%"
"Dec 15, 2021","101.14","87.26","105.61","86.12","6.99M","15.91%"
"Dec 14, 2021","87.26","79.11","87.39","76.47","3.26M","10.29%"
"Dec 13, 2021","79.12","88.04","89.89","75.69","3.99M","-10.13%"
"Dec 12, 2021","88.04","86.48","88.89","83.00","1.71M","2.10%"
"Dec 11, 2021","86.23","80.61","86.95","78.81","2.57M","6.97%"
"Dec 10, 2021","80.61","85.46","91.70","80.58","3.65M","-5.62%"
"Dec 09, 2021","85.41","93.12","94.50","83.34","2.83M","-8.28%"
"Dec 08, 2021","93.12","89.57","93.19","86.56","2.15M","3.89%"
"Dec 07, 2021","89.63","93.28","96.55","88.10","3.18M","-3.91%"
"Dec 06, 2021","93.28","86.34","94.84","77.07","5.69M","8.33%"
"Dec 05, 2021","86.11","93.17","95.24","82.59","3.97M","-7.58%"
"Dec 04, 2021","93.17","108.58","108.64","76.66","7.76M","-14.19%"
"Dec 03, 2021","108.58","107.80","113.16","100.03","3.75M","0.61%"
"Dec 02, 2021","107.92","119.57","119.68","107.13","2.81M","-9.74%"
"Dec 01, 2021","119.57","120.17","127.24","117.53","3.33M","-0.49%"
"Nov 30, 2021","120.17","120.42","124.65","114.19","4.08M","-0.21%"
"Nov 29, 2021","120.42","110.45","120.42","109.26","2.87M","8.98%"
"Nov 28, 2021","110.49","113.35","113.82","100.69","3.78M","-2.53%"
"Nov 27, 2021","113.36","103.97","117.88","103.26","3.20M","9.03%"
"Nov 26, 2021","103.97","119.11","119.81","101.60","5.15M","-12.71%"
"Nov 25, 2021","119.10","115.11","129.92","114.32","5.29M","3.46%"
"Nov 24, 2021","115.12","123.90","124.60","112.79","5.18M","-7.08%"
